iter	Passed	Remaining
0	47	47371
1	47	23791
2	47	15912
3	48	11971
4	48	9611
5	48	8038
6	48	6937
7	49	6091
8	49	5431
9	49	4912
10	49	4484
11	50	4125
12	50	3821
13	50	3571
14	95	6252
15	95	5881
16	96	5572
17	97	5293
18	97	5025
19	97	4784
20	98	4569
21	98	4370
22	98	4190
23	98	4024
24	99	3872
25	99	3741
26	100	3611
27	100	3499
28	101	3386
29	101	3279
30	101	3179
31	102	3094
32	102	3007
33	102	2925
34	103	2850
35	103	2780
36	104	2710
37	104	2650
38	105	2587
39	105	2527
40	105	2473
41	106	2420
42	106	2367
43	106	2318
44	107	2272
45	107	2232
46	107	2189
47	108	2147
48	108	2113
49	109	2074
50	109	2038
51	109	2002
52	110	1967
53	110	1937
54	111	1908
55	111	1876
56	111	1847
57	112	1819
58	112	1792
59	112	1769
60	113	1744
61	113	1720
62	114	1700
63	114	1676
64	114	1654
65	115	1632
66	115	1611
67	116	1592
68	116	1575
69	117	1558
70	117	1539
71	118	1522
72	118	1505
73	118	1488
74	119	1474
75	119	1457
76	120	1442
77	120	1425
78	121	1414
79	121	1398
80	121	1382
81	122	1367
82	122	1352
83	122	1337
84	123	1324
85	123	1310
86	123	1298
87	124	1285
88	124	1272
89	124	1261
90	125	1249
91	125	1237
92	125	1225
93	125	1213
94	126	1201
95	126	1189
96	126	1180
97	126	1168
98	127	1157
99	127	1146
100	127	1136
101	127	1126
102	128	1117
103	128	1107
104	128	1098
105	129	1089
106	129	1081
107	129	1072
108	130	1064
109	130	1055
110	130	1048
111	131	1039
112	131	1031
113	131	1023
114	131	1014
115	132	1006
116	132	1000
117	132	991
118	133	985
119	133	978
120	133	970
121	133	963
122	134	955
123	134	948
124	134	942
125	135	936
126	135	929
127	135	923
128	135	916
129	136	910
130	136	904
131	136	898
132	136	891
133	137	885
134	137	879
135	137	874
136	137	868
137	138	862
138	138	856
139	138	850
140	138	845
141	139	840
142	139	834
143	139	829
144	139	824
145	140	820
146	140	814
147	140	810
148	140	805
149	141	800
150	141	795
151	141	790
152	141	785
153	142	781
154	142	776
155	142	771
156	142	767
157	143	763
158	143	759
159	143	754
160	144	750
161	144	746
162	144	741
163	144	738
164	145	733
165	145	729
166	145	725
167	145	722
168	146	719
169	146	715
170	146	711
171	146	707
172	147	703
173	147	699
174	147	695
175	147	691
176	148	688
177	148	685
178	148	682
179	149	679
180	149	676
181	149	673
182	150	670
183	150	666
184	150	663
185	150	660
186	151	657
187	151	653
188	151	650
189	151	647
190	152	645
191	152	642
192	153	640
193	153	637
194	153	634
195	153	631
196	154	627
197	154	625
198	154	622
199	154	619
200	155	618
201	156	616
202	156	614
203	156	612
204	157	610
205	157	607
206	157	605
207	158	602
208	158	599
209	158	597
210	159	595
211	159	592
212	159	590
213	159	587
214	160	585
215	160	582
216	160	580
217	160	577
218	161	575
219	161	573
220	161	570
221	162	568
222	162	566
223	163	564
224	163	562
225	163	560
226	163	558
227	164	556
228	164	553
229	164	551
230	165	549
231	165	547
232	165	545
233	166	543
234	166	541
235	166	539
236	167	537
237	167	536
238	167	534
239	167	531
240	168	529
241	168	527
242	168	525
243	169	523
244	169	521
245	169	519
246	169	517
247	170	515
248	170	513
249	170	511
250	170	509
251	171	507
252	171	505
253	171	503
254	171	501
255	171	499
256	172	498
257	172	496
258	172	494
259	173	492
260	173	491
261	173	489
262	174	487
263	174	486
264	174	484
265	175	483
266	175	481
267	175	479
268	175	477
269	176	475
270	176	474
271	176	473
272	177	471
273	177	469
274	177	468
275	177	466
276	178	465
277	178	463
278	178	462
279	179	461
280	179	459
281	179	457
282	180	456
283	180	454
284	180	453
285	180	451
286	181	450
287	181	448
288	181	447
289	182	446
290	182	444
291	182	442
292	182	441
293	183	439
294	183	438
295	187	446
296	188	445
297	188	444
298	189	443
299	189	442
300	189	440
301	189	439
302	190	437
303	190	435
304	190	434
305	190	432
306	191	431
307	191	429
308	192	429
309	192	429
310	192	427
311	193	426
312	193	425
313	194	423
314	194	422
315	194	421
316	195	420
317	195	419
318	195	417
319	196	416
320	196	415
321	196	413
322	196	412
323	197	411
324	197	410
325	197	409
326	198	407
327	198	406
328	198	405
329	199	404
330	199	403
331	199	401
332	199	400
333	200	399
334	200	398
335	200	397
336	201	396
337	201	394
338	201	393
339	202	392
340	202	391
341	202	390
342	203	389
343	203	388
344	203	387
345	204	385
346	204	384
347	204	383
348	205	382
349	205	381
350	205	380
351	205	379
352	206	378
353	206	376
354	206	376
355	207	375
356	207	374
357	207	372
358	208	371
359	208	371
360	208	369
361	209	368
362	209	367
363	209	366
364	210	365
365	210	364
366	210	363
367	210	362
368	211	361
369	211	360
370	211	359
371	212	358
372	212	357
373	213	356
374	213	355
375	213	354
376	213	353
377	214	352
378	214	351
379	214	350
380	215	349
381	215	348
382	215	347
383	215	346
384	216	345
385	216	344
386	216	342
387	216	342
388	217	341
389	217	340
390	217	339
391	218	338
392	218	337
393	218	336
394	219	335
395	219	334
396	219	333
397	219	332
398	220	331
399	220	330
400	220	329
401	221	329
402	221	328
403	221	327
404	222	326
405	222	325
406	223	325
407	223	324
408	223	322
409	223	322
410	224	321
411	224	320
412	224	319
413	225	318
414	225	317
415	225	317
416	226	315
417	226	315
418	226	314
419	227	313
420	227	312
421	227	311
422	227	310
423	228	310
424	228	309
425	228	308
426	229	307
427	229	306
428	229	305
429	230	305
430	230	304
431	230	303
432	231	302
433	231	301
434	231	301
435	232	300
436	232	299
437	232	298
438	233	297
439	233	296
440	233	296
441	233	295
442	234	294
443	234	293
444	234	293
445	235	292
446	235	291
447	235	290
448	236	289
449	236	288
450	236	287
451	236	286
452	236	286
453	237	285
454	237	284
455	237	283
456	238	283
457	238	282
458	238	281
459	239	280
460	239	279
461	239	279
462	239	278
463	240	277
464	240	277
465	241	276
466	241	275
467	241	274
468	241	273
469	242	273
470	242	272
471	242	271
472	243	270
473	243	270
474	243	269
475	244	268
476	244	268
477	244	267
478	245	266
479	245	266
480	245	265
481	246	264
482	246	263
483	246	263
484	246	262
485	247	261
486	247	260
487	247	260
488	248	259
489	248	258
490	248	257
491	248	257
492	249	256
493	249	255
494	249	254
495	250	254
496	250	253
497	251	253
498	251	252
499	251	251
500	252	251
501	252	250
502	252	249
503	252	248
504	253	248
505	253	247
506	253	246
507	254	246
508	254	245
509	254	244
510	255	244
511	255	243
512	256	243
513	256	242
514	256	241
515	256	241
516	257	240
517	257	239
518	257	238
519	258	238
520	258	237
521	258	236
522	259	236
523	259	235
524	259	234
525	259	234
526	260	233
527	260	232
528	260	232
529	261	231
530	261	230
531	261	230
532	262	229
533	262	229
534	262	228
535	263	227
536	263	227
537	263	226
538	264	225
539	264	225
540	264	224
541	265	224
542	265	223
