iter	Logloss
0	0.675196756
1	0.6611756962
2	0.650094837
3	0.6440358071
4	0.6345542695
5	0.6249837071
6	0.618069648
7	0.6081046612
8	0.6002426207
9	0.5925032264
10	0.5856380754
11	0.5778726422
12	0.5742650097
13	0.566146436
14	0.5603898539
15	0.5567233788
16	0.5506343641
17	0.5478127723
18	0.5428165437
19	0.5388465674
20	0.5350282914
21	0.5318853634
22	0.5279001031
23	0.5240518179
24	0.5188161218
25	0.5169339289
26	0.5147167595
27	0.5089866316
28	0.5029813495
29	0.4990652141
30	0.4943443965
31	0.4902520414
32	0.4876589582
33	0.4837314591
34	0.4804657479
35	0.475312755
36	0.4718505967
37	0.4692562103
38	0.4633579551
39	0.4617114391
40	0.4602508834
41	0.4580391948
42	0.4558185901
43	0.452818252
44	0.4505574648
45	0.4474820865
46	0.4416958331
47	0.4375781181
48	0.4333388937
49	0.4303718685
50	0.4275357966
51	0.4253756575
52	0.4231098948
53	0.4209648179
54	0.41956818
55	0.4164468188
56	0.415638248
57	0.4119101024
58	0.4080919215
59	0.406493103
60	0.4050409065
61	0.4008345712
62	0.3973434253
63	0.3958738592
64	0.3943398405
65	0.391344507
66	0.3876623344
67	0.3843111986
68	0.3812145746
69	0.3779657576
70	0.3754727317
71	0.3717568146
72	0.3710898812
73	0.367497504
74	0.3658467758
75	0.3637184658
76	0.3626232468
77	0.3611427738
78	0.3590793504
79	0.3552543133
80	0.3541379702
81	0.3522582671
82	0.3505895934
83	0.3477847565
84	0.3460500351
85	0.3433194294
86	0.3407682624
87	0.3381485132
88	0.3354087026
89	0.3330639523
90	0.3309050069
91	0.3284779237
92	0.3249673513
93	0.3239986757
94	0.3227122789
95	0.3214566321
96	0.3199871627
97	0.3174770534
98	0.3158295845
99	0.3145119828
100	0.3137057928
101	0.3114614031
102	0.3096131583
103	0.3084356031
104	0.307701086
105	0.3058764453
106	0.3049191721
107	0.3031533933
108	0.3017334842
109	0.3010489021
110	0.3002321276
111	0.2993675037
112	0.2982633574
113	0.2976101424
114	0.2962460901
115	0.2946076678
116	0.2935012494
117	0.2921170776
