iter	Passed	Remaining
0	46	46712
1	47	23531
2	47	15761
3	47	11880
4	48	9562
5	48	8034
6	49	6974
7	49	6135
8	49	5476
9	50	4961
10	50	4544
11	50	4192
12	51	3892
13	51	3655
14	52	3440
15	52	3237
16	53	3072
17	53	2931
18	53	2787
19	54	2657
20	54	2546
21	54	2438
22	55	2341
23	55	2252
24	55	2171
25	56	2108
26	56	2038
27	57	1983
28	57	1923
29	57	1865
30	57	1811
31	58	1769
32	58	1723
33	59	1679
34	59	1641
35	60	1608
36	60	1568
37	60	1537
38	61	1503
39	61	1469
40	61	1441
41	61	1414
42	62	1386
43	62	1359
44	62	1333
45	63	1312
46	63	1287
47	63	1265
48	64	1246
49	64	1225
50	64	1205
51	65	1185
52	65	1169
53	65	1153
54	66	1138
55	66	1123
56	66	1107
57	67	1093
58	67	1078
59	68	1067
60	68	1054
61	68	1042
62	69	1031
63	69	1018
64	70	1007
65	70	995
66	70	985
67	71	975
68	71	967
69	72	958
70	72	947
71	72	938
72	73	930
73	73	921
74	74	914
75	74	904
76	74	896
77	75	887
78	75	879
79	75	871
80	76	862
81	76	853
82	76	845
83	76	837
84	77	832
85	77	824
86	78	819
87	78	813
88	78	806
89	79	801
90	79	795
91	80	790
92	80	783
93	80	778
94	81	771
95	81	765
96	81	761
97	82	755
98	82	748
99	82	743
100	82	737
101	83	733
102	83	729
103	84	724
104	84	719
105	84	714
106	85	711
107	85	707
108	86	704
109	86	700
110	87	697
111	87	692
112	87	688
113	88	683
114	88	679
115	88	674
116	89	672
117	89	668
118	89	665
119	90	662
120	90	658
121	90	653
122	91	648
123	91	645
124	91	642
125	92	639
126	92	636
127	92	632
128	93	629
129	93	625
130	93	622
131	94	618
132	94	615
133	94	612
134	95	608
135	95	606
136	95	602
137	95	599
138	96	595
139	96	592
140	96	589
141	97	587
142	97	584
143	97	581
144	98	578
145	98	577
146	98	573
147	99	571
148	99	568
149	99	565
150	100	562
151	100	560
152	100	557
153	101	556
154	101	553
155	101	550
156	102	548
157	102	546
158	102	543
159	103	541
160	103	539
161	103	536
162	103	533
163	104	532
164	104	529
165	105	527
166	105	525
167	105	524
168	106	522
169	106	520
170	106	517
171	107	515
172	107	513
173	107	510
174	107	508
175	108	505
176	108	504
177	108	503
178	109	502
179	109	501
180	110	499
181	110	498
182	111	495
183	111	494
184	111	491
185	112	490
186	112	489
187	112	486
188	112	484
189	113	483
190	113	482
191	114	481
192	114	480
193	115	478
194	115	476
195	115	474
196	115	472
197	116	471
198	116	469
199	117	468
200	117	467
201	118	466
202	118	465
203	119	464
204	119	463
205	120	462
206	120	461
207	120	459
208	121	458
209	121	457
210	122	456
211	122	455
212	122	453
213	123	452
214	123	451
215	123	449
216	124	447
217	124	446
218	124	444
219	125	443
220	125	442
221	126	441
222	126	440
223	126	439
224	127	438
225	127	437
226	128	435
227	128	435
228	128	433
229	129	432
230	129	431
231	129	430
232	130	429
233	130	428
234	131	429
235	132	428
236	132	427
237	133	426
238	133	425
239	133	424
240	134	422
241	134	421
242	134	420
243	135	419
244	135	418
